date,petro,petro_brent,petro_dubai,petro_texas,cambio,ipca
1990M1,20.425217391,20.989130,17.501739,22.784783,"0,000005",0.0054000000000000003
1990M2,19.388333333,19.702500,16.681500,21.781000,"0,000009",0.0094999999999999998
1990M3,18.103787879,18.465909,15.755909,20.089545,"0,000013",0.017299999999999999
1990M4,16.368095238,16.926190,14.250476,17.927619,"0,000017",0.02
1990M5,16.349855072,16.671739,14.647826,17.730000,"0,000019",0.021600000000000001
1990M6,15.097301587,15.552381,13.277143,16.462381,"0,000021",0.0241
1990M7,17.054545455,17.465909,15.307727,18.390000,"0,000024",0.027199999999999998
1990M8,26.535217391,26.947826,25.090870,27.566957,"0,000026",0.030700000000000002
1990M9,33.016666667,34.657500,30.352500,34.040000,"0,000027",0.035099999999999999
1990M10,34.555217391,36.265217,31.407826,35.992609,"0,000034",0.0402
1990M11,31.192575758,32.963636,28.076818,32.537273,"0,000045",0.046899999999999997
1990M12,26.227619048,27.871429,23.264286,27.547143,"0,000056",0.055599999999999997
1991M1,23.051594203,23.984783,19.632174,25.537826,"0,000070",0.067100000000000007
1991M2,18.020333333,19.292500,14.518000,20.250500,"0,000080",0.081000000000000003
1991M3,18.102380952,19.561905,15.009048,19.736190,"0,000083",0.090700000000000003
1991M4,18.477575758,19.338636,15.372273,20.721818,"0,000092",0.095200000000000007
1991M5,18.738840580,19.217391,15.944783,21.054348,"0,000099",0.1023
1991M6,17.893833333,18.172500,15.411500,20.097500,"0,000108",0.1137
1991M7,18.955072464,19.450000,16.233043,21.182174,"0,000119",0.1278
1991M8,19.321666667,19.775000,16.613636,21.576364,"0,000135",0.14779999999999999
1991M9,20.103968254,20.540476,17.799048,21.972381,"0,000156",0.1709
1991M10,21.522173913,22.209565,18.883478,23.473478,"0,000212",0.20549999999999999
1991M11,20.698253968,21.107143,18.350000,22.637619,"0,000269",0.25729999999999997
1991M12,17.667575758,18.254545,15.302727,19.445455,"0,000348",0.31830000000000003
1992M1,17.354782609,18.156522,15.219130,18.688696,"0,000435",0.40089999999999998
1992M2,17.570666667,18.110000,15.722500,18.879500,"0,000538",0.49830000000000002
1992M3,17.401515152,17.659091,15.754091,18.791364,"0,000660",0.60499999999999998
1992M4,18.587575758,19.015909,16.637727,20.109091,"0,000799",0.72560000000000002
1992M5,19.468571429,19.980952,17.587143,20.837619,"0,000956",0.90590000000000004
1992M6,20.829696970,21.188636,19.010909,22.289545,"0,001145",1.089
1992M7,20.157101449,20.326087,18.493913,21.651304,"0,001392",1.3268
1992M8,19.615396825,19.792857,17.803810,21.249524,"0,001699",1.6205000000000001
1992M9,20.159393939,20.288636,18.380000,21.809545,"0,002099",2.0196000000000001
1992M10,20.026363636,20.311364,18.136818,21.630909,"0,002624",2.5293999999999999
1992M11,18.859365079,19.196190,17.137143,20.244762,"0,003290",3.0983000000000001
1992M12,17.932898551,18.272609,16.224783,19.301304,"0,004055",3.8803000000000001
1993M1,17.253015873,17.507143,15.320476,18.931429,"0,005112",5.0579000000000001
1993M2,18.162000000,18.445500,16.046000,19.994500,"0,006498",6.3213999999999997
1993M3,18.458115942,18.842609,16.314348,20.217391,"0,008171",8.0446000000000009
1993M4,18.428636364,18.782727,16.388636,20.114545,"0,010447",10.276999999999999
1993M5,18.182222222,18.578095,16.119048,19.849524,"0,013469",13.1227
1993M6,17.415303030,17.634091,15.643182,18.968636,"0,017493",17.0686
1993M7,16.261818182,16.808636,14.208636,17.768182,"0,022826",22.312100000000001
1993M8,16.512575758,16.836818,14.647727,18.053182,"0,030087",29.6662
1993M9,15.905000000,16.139545,14.128182,17.447273,"0,040431",40.254100000000001
1993M10,16.481111111,16.642381,14.751429,18.049524,"0,054989",53.908299999999997
1993M11,15.152424242,15.240000,13.786818,16.430455,"0,074834",73.078000000000003
1993M12,13.400144928,13.559565,12.219565,14.421304,"0,101589",100
1994M1,14.127936508,14.273810,13.081429,15.028571,"0,142121",141.31
1994M2,13.759500000,13.769500,12.752500,14.756500,"0,200286",198.22
1994M3,13.516231884,13.770000,12.076087,14.702609,"0,279312",282.95999999999998
1994M4,15.055714286,15.093810,13.750476,16.322857,"0,403471",403.73000000000002
1994M5,16.346818182,16.420909,14.791364,17.828182,"0,576529",581.49000000000001
1994M6,17.201060606,17.105455,15.688636,18.809091,"0,832607",857.28999999999996
1994M7,17.971904762,18.124762,16.397619,19.393333,"0,924800",915.92999999999995
1994M8,17.053478261,16.912609,15.929130,18.318696,"0,896600",932.97000000000003
1994M9,16.186818182,16.038636,15.247727,17.274091,"0,863200",947.24000000000001
1994M10,16.483333333,16.550952,15.371429,17.527619,"0,844000",972.05999999999995
1994M11,17.133333333,17.414091,15.920909,18.065000,"0,839800",999.37
1994M12,16.212121212,16.041364,15.455000,17.140000,"0,848100",1016.46
1995M1,16.863333333,16.654091,16.011364,17.924545,"0,845100",1033.74
1995M2,17.379166667,17.271000,16.553000,18.313500,"0,838800",1044.28
1995M3,17.276521739,17.236522,16.327826,18.265217,"0,887400",1060.47
1995M4,18.662833333,18.824000,17.379500,19.785000,"0,905500",1086.24
1995M5,18.514492754,18.677826,17.293478,19.572174,"0,895400",1115.24
1995M6,17.354242424,17.353182,16.191364,18.518182,"0,912000",1140.4400000000001
1995M7,16.197619048,16.080952,15.066190,17.445714,"0,926800",1167.3499999999999
1995M8,16.548260870,16.255217,15.408696,17.980870,"0,940000",1178.9100000000001
1995M9,16.748730159,16.691905,15.533333,18.020952,"0,950800",1190.5799999999999
1995M10,16.130757576,16.193636,14.867273,17.331364,"0,958700",1207.3699999999999
1995M11,16.810606061,16.910455,15.735909,17.785455,"0,962400",1225.1199999999999
1995M12,18.072222222,18.236190,17.173333,18.807143,"0,967300",1244.23
1996M1,17.917536232,18.135217,16.715217,18.902174,"0,973500",1260.9000000000001
1996M2,17.650634921,17.846190,16.001905,19.103810,"0,980100",1273.8900000000001
1996M3,19.312380952,19.809524,16.967143,21.160476,"0,985300",1278.3499999999999
1996M4,20.705151515,21.200455,17.656818,23.258182,"0,989400",1294.46
1996M5,19.084347826,19.319130,16.918261,21.015652,"0,994500",1310.25
1996M6,18.718000000,18.577500,17.314000,20.262500,"1,000500",1325.8399999999999
1996M7,19.558695652,19.714783,17.721739,21.239565,"1,006100",1340.5599999999999
1996M8,20.386060606,20.605909,18.604545,21.947727,"1,012600",1346.46
1996M9,22.437460317,23.081429,20.265714,23.965238,"1,018500",1348.48
1996M10,23.609855072,24.273478,21.633478,24.922609,"1,024300",1352.53
1996M11,22.596507937,23.102381,20.946190,23.740952,"1,029600",1356.8599999999999
1996M12,23.612121212,24.036364,21.565909,25.234091,"1,036500",1363.24
1997M1,23.316086957,23.605652,21.414783,24.927826,"1,042100",1379.3299999999999
1997M2,20.535666667,20.920500,18.887000,21.799500,"1,048500",1386.23
1997M3,19.455714286,19.559524,18.174762,20.632857,"1,055900",1393.3
1997M4,17.975606061,17.775455,16.761364,19.390000,"1,060100",1405.5599999999999
1997M5,19.410151515,19.245455,18.483182,20.501818,"1,067500",1411.3199999999999
1997M6,17.998571429,17.803810,17.268571,18.923333,"1,073800",1418.9400000000001
1997M7,18.405797101,18.556522,17.283043,19.377826,"1,079900",1422.0599999999999
1997M8,18.721269841,18.815714,17.688095,19.660000,"1,087100",1421.78
1997M9,18.716212121,18.581818,17.961818,19.605000,"1,092800",1422.6300000000001
1997M10,20.156956522,20.132609,19.063043,21.275217,"1,099300",1425.9000000000001
1997M11,19.213000000,19.309000,18.510000,19.820000,"1,106500",1428.3199999999999
1997M12,17.319420290,17.417826,16.350870,18.189565,"1,112800",1434.46
1998M1,15.256969697,15.510455,13.703182,16.557273,"1,119100",1444.6400000000001
1998M2,14.200333333,14.366000,12.436500,15.798500,"1,132900",1451.29
1998M3,13.244848485,13.460000,11.512727,14.761818,"1,132900",1456.22
1998M4,13.716060606,13.809091,12.227727,15.111364,"1,140400",1459.71
1998M5,14.005555556,14.508571,12.756667,14.751429,"1,147300",1467.01
1998M6,12.815909091,13.059545,11.911818,13.476364,"1,153800",1467.3
1998M7,12.848840580,12.523478,12.042174,13.980870,"1,160700",1465.54
1998M8,12.544761905,12.152857,12.206190,13.275238,"1,170900",1458.0699999999999
1998M9,13.850454545,13.626364,13.081364,14.843636,"1,180100",1454.8599999999999
1998M10,13.296212121,12.896364,12.814091,14.178182,"1,187600",1455.1500000000001
1998M11,11.890634921,11.441905,11.760000,12.470000,"1,192900",1453.4000000000001
1998M12,10.443623188,10.160000,10.105217,11.065652,"1,204600",1458.2
1999M1,11.409047619,11.186667,10.762857,12.277619,"1,501100",1468.4100000000001
1999M2,10.732166667,10.429500,10.080500,11.686500,"1,912900",1483.8299999999999
1999M3,13.219420290,12.885217,12.363478,14.409565,"1,896000",1500.1500000000001
1999M4,15.811818182,15.500909,14.885909,17.048636,"1,693300",1508.55
1999M5,16.145555556,15.670000,15.310952,17.455714,"1,682700",1513.0799999999999
1999M6,16.480000000,16.131818,15.576364,17.731818,"1,764600",1515.95
1999M7,18.927272727,19.032273,17.828182,19.921364,"1,799500",1532.47
1999M8,20.352424242,20.597727,19.381364,21.078182,"1,880000",1541.05
1999M9,22.891969697,23.149545,22.040909,23.485455,"1,897300",1545.8299999999999
1999M10,22.030952381,22.178571,21.369524,22.544762,"1,968700",1564.23
1999M11,24.378787879,24.837273,23.104545,25.194545,"1,929100",1579.0899999999999
1999M12,25.150724638,25.699130,23.586957,26.166087,"1,842000",1588.5599999999999
2000M1,25.357777778,25.633333,23.359524,27.080476,"1,802900",1598.4100000000001
2000M2,27.252222222,28.030476,24.720000,29.006190,"1,774500",1600.49
2000M3,27.350579710,27.494348,25.096957,29.460435,"1,741200",1604.01
2000M4,23.639333333,23.153500,22.348500,25.416000,"1,767400",1610.75
2000M5,27.317246377,27.805217,25.633913,28.512609,"1,827100",1610.9100000000001
2000M6,29.773939394,30.483182,27.152273,31.686364,"1,807500",1614.6199999999999
2000M7,28.288253968,28.894286,26.137619,29.832857,"1,797000",1640.6199999999999
2000M8,29.984057971,31.629130,27.171304,31.151739,"1,808400",1662.1099999999999
2000M9,32.348730159,33.360476,30.095238,33.590476,"1,838400",1665.9300000000001
2000M10,31.570909091,31.302727,30.570909,32.839091,"1,878800",1668.26
2000M11,32.530757576,32.880909,30.383636,34.327727,"1,947200",1673.5999999999999
2000M12,25.232539683,25.475714,22.091905,28.130000,"1,962500",1683.47
2001M1,25.868985507,25.790000,22.604348,29.212609,"1,953700",1693.0699999999999
2001M2,27.319500000,27.896500,24.814000,29.248000,"2,001100",1700.8599999999999
2001M3,25.170909091,25.034545,23.576818,26.901364,"2,088200",1707.3199999999999
2001M4,25.836825397,26.018095,24.247143,27.245238,"2,191700",1717.22
2001M5,27.429275362,28.438261,25.422174,28.427391,"2,296400",1724.26
2001M6,27.069365079,28.003810,25.722381,27.481905,"2,375000",1733.23
2001M7,24.853787879,24.991364,23.403636,26.166364,"2,465200",1756.28
2001M8,25.773913043,25.736087,24.562609,27.023043,"2,509800",1768.5699999999999
2001M9,25.389666667,25.837000,24.238500,26.093500,"2,670900",1773.52
2001M10,20.942753623,21.032609,19.926957,21.868696,"2,739400",1788.24
2001M11,18.624242424,19.105455,17.496818,19.270455,"2,542300",1800.9400000000001
2001M12,18.550634921,18.681429,17.844762,19.125714,"2,361900",1812.6500000000001
2002M1,19.257536232,20.033043,18.351304,19.388261,"2,377100",1822.0799999999999
2002M2,20.094666667,20.545000,19.154000,20.585000,"2,418800",1828.6400000000001
2002M3,23.785238095,24.000952,22.970952,24.383810,"2,345800",1839.6099999999999
2002M4,25.407575758,25.945455,24.320455,25.956818,"2,319600",1854.3299999999999
2002M5,25.622753623,25.549565,24.605652,26.713043,"2,479600",1858.22
2002M6,24.518000000,24.368000,23.831000,25.355000,"2,713200",1866.02
2002M7,25.701014493,25.857826,24.493478,26.751739,"2,933800",1888.23
2002M8,26.648333333,26.620000,25.220909,28.104091,"3,109300",1900.5
2002M9,28.268412698,28.370952,26.968571,29.465714,"3,341200",1914.1800000000001
2002M10,27.397971014,27.522609,25.968261,28.703043,"3,805100",1939.26
2002M11,24.570158730,24.250476,23.376190,26.083810,"3,575600",1997.8299999999999
2002M12,27.937424242,28.317273,26.023182,29.471818,"3,625100",2039.78
2003M1,30.486231884,30.808696,27.881304,32.768696,"3,437600",2085.6799999999998
2003M2,32.856666667,32.662500,30.200500,35.707000,"3,590000",2118.4299999999998
2003M3,30.375873016,30.168095,27.521429,33.438095,"3,446100",2144.4899999999998
2003M4,25.548636364,25.035000,23.558182,28.052727,"3,117900",2165.29
2003M5,25.970909091,25.714545,24.317273,27.880909,"2,954900",2178.5
2003M6,27.847142857,27.566667,25.669048,30.305714,"2,882400",2175.23
2003M7,28.549710145,28.503913,26.733913,30.411304,"2,879000",2179.5799999999999
2003M8,29.601428571,29.718095,27.872381,31.213810,"3,001700",2186.9899999999998
2003M9,26.850151515,27.044091,25.302727,28.203636,"2,922000",2204.0500000000002
2003M10,28.967681159,29.435652,27.294348,30.173043,"2,860700",2210.4400000000001
2003M11,29.024000000,28.948500,27.404500,30.719000,"2,913000",2217.96
2003M12,29.860579710,29.743478,27.976522,31.861739,"2,924500",2229.4899999999998
2004M1,31.306818182,30.981818,29.061818,33.876818,"2,851000",2246.4299999999998
2004M2,31.200666667,30.795000,28.834000,33.973000,"2,929500",2260.1300000000001
2004M3,33.506956522,33.424348,30.556522,36.540000,"2,904700",2270.75
2004M4,33.843181818,33.357727,31.634091,36.537727,"2,905200",2279.1500000000001
2004M5,37.468412698,37.589048,34.750952,40.065238,"3,099600",2290.77
2004M6,35.643484848,35.437727,33.568636,37.924091,"3,128300",2307.0300000000002
2004M7,37.938484848,38.226818,35.044091,40.544545,"3,036000",2328.02
2004M8,41.840303030,42.224091,38.613182,44.683636,"3,002100",2344.0799999999999
2004M9,41.658636364,43.315909,35.981818,45.678182,"2,890300",2351.8200000000002
2004M10,46.978412698,49.736190,38.214762,52.984286,"2,852100",2362.1700000000001
2004M11,42.201515152,43.748636,34.718636,48.137273,"2,785200",2378.4699999999998
2004M12,38.997971014,39.965652,34.137391,42.890870,"2,717400",2398.9200000000001
2005M1,43.001111111,44.174762,38.320000,46.508571,"2,692200",2412.8299999999999
2005M2,44.411166667,45.721000,39.673000,47.839500,"2,597000",2427.0700000000002
2005M3,51.010289855,53.229130,46.075652,53.726087,"2,703900",2441.8699999999999
2005M4,50.837142857,52.604286,47.096190,52.810952,"2,578400",2463.1100000000001
2005M5,48.143333333,49.285455,45.074091,50.070455,"2,452000",2475.1799999999998
2005M6,54.133787879,54.839091,51.099091,56.463182,"2,412700",2474.6799999999998
2005M7,56.585555556,57.625714,52.978571,59.152381,"2,372700",2480.8699999999999
2005M8,62.060144928,63.950435,56.834783,65.395217,"2,359800",2485.0900000000001
2005M9,62.078333333,63.261364,56.928636,66.045000,"2,293600",2493.79
2005M10,58.163809524,58.908571,53.582857,62.000000,"2,255700",2512.4899999999998
2005M11,55.073636364,55.449545,51.398182,58.373182,"2,210000",2526.3099999999999
2005M12,56.656363636,57.156818,53.240000,59.572273,"2,284700",2535.4000000000001
2006M1,62.331363636,63.311818,58.462727,65.219545,"2,273100",2550.3600000000001
2006M2,59.862833333,60.805500,57.337000,61.446000,"2,161100",2560.8200000000002
2006M3,61.355362319,62.746957,58.445217,62.873913,"2,151200",2571.8299999999999
2006M4,68.123000000,70.340000,64.537500,69.491500,"2,128500",2577.23
2006M5,68.921739130,70.510000,65.301304,70.953913,"2,177300",2579.8099999999999
2006M6,68.445909091,69.232727,65.164545,70.940455,"2,247500",2574.3899999999999
2006M7,72.527301587,74.040952,69.013810,74.527143,"2,188500",2579.2800000000002
